Season,Team,G,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Total,Spread
2015,BRK,47,2015-02-02,1,LAC,W,102,100,41,83,0.494,12,27,0.444,8,18,0.444,10,45,21,4,0,16,27,42,89,0.472,8,23,0.348,8,25,0.32,15,52,23,6,1,13,22,202,2
2015,BRK,48,2015-02-04,0,TOR,W,109,93,40,81,0.494,9,19,0.474,20,23,0.87,10,39,24,7,1,9,17,35,79,0.443,10,33,0.303,13,18,0.722,9,38,22,3,4,9,16,202,16
2015,BRK,49,2015-02-06,1,NYK,W,92,88,37,74,0.5,3,11,0.273,15,22,0.682,10,47,23,1,10,14,19,34,89,0.382,6,24,0.25,14,17,0.824,13,40,23,8,3,6,22,180,4
2015,BRK,50,2015-02-07,0,WAS,L,77,114,26,77,0.338,4,18,0.222,21,31,0.677,13,38,17,8,4,15,20,44,87,0.506,9,20,0.45,17,23,0.739,16,51,31,9,3,14,24,191,-37
2015,BRK,51,2015-02-09,0,MIL,L,97,103,38,76,0.5,9,25,0.36,12,19,0.632,8,38,25,3,8,16,17,37,89,0.416,7,18,0.389,22,25,0.88,14,44,25,14,4,10,14,200,-6
2015,BRK,52,2015-02-10,0,MEM,L,86,95,35,81,0.432,3,12,0.25,13,17,0.765,14,46,14,7,5,20,24,36,81,0.444,6,19,0.316,17,25,0.68,12,45,24,14,9,12,19,181,-9
2015,BRK,53,2015-02-20,0,LAL,W,114,105,42,89,0.472,10,21,0.476,20,24,0.833,13,46,29,7,2,11,20,41,89,0.461,4,23,0.174,19,29,0.655,14,46,22,10,4,10,18,219,9
2015,BRK,54,2015-02-23,0,DEN,W,110,82,43,92,0.467,4,21,0.19,20,23,0.87,14,57,21,7,9,10,17,31,94,0.33,7,27,0.259,13,22,0.591,19,49,18,6,3,15,24,192,28
2015,BRK,55,2015-02-25,0,NOP,L,96,102,39,92,0.424,7,21,0.333,11,15,0.733,8,37,13,6,6,12,16,38,74,0.514,11,25,0.44,15,19,0.789,6,43,26,6,6,20,21,198,-6
2015,BRK,56,2015-02-27,0,HOU,L,98,102,38,85,0.447,4,17,0.235,18,20,0.9,12,44,17,8,4,17,21,39,84,0.464,9,32,0.281,15,17,0.882,8,41,26,9,5,14,25,200,-4
2015,BRK,57,2015-02-28,0,DAL,W,104,94,40,77,0.519,10,23,0.435,14,23,0.609,12,48,20,5,4,15,21,35,82,0.427,9,28,0.321,15,18,0.833,8,37,23,10,3,13,19,198,10
